Match,Result,totalGold,goldDiff,totalKills,totalDeaths,totalAssists,KD_rat,indGold,indKills,indDeaths,indAssists
B3579,1,85573,16768,22,8,67,14,"[16237, 16091, 20117, 20330, 12798]","[4, 6, 4, 6, 2]","[1, 2, 2, 1, 2]","[11, 14, 13, 13, 16]"
R3579,0,68805,-16768,8,22,22,-14,"[13163, 13155, 16681, 15309, 10497]","[3, 1, 2, 2, 0]","[6, 8, 4, 1, 3]","[3, 5, 5, 3, 6]"
B3580,0,48047,-12694,3,23,9,-20,"[9567, 9217, 10852, 10883, 7528]","[2, 0, 1, 0, 0]","[6, 6, 4, 4, 3]","[1, 2, 2, 2, 2]"
R3580,1,60741,12694,23,3,54,20,"[13426, 11840, 14501, 13235, 7739]","[4, 6, 10, 3, 0]","[1, 0, 1, 1, 0]","[12, 9, 6, 11, 16]"
B3581,1,66428,13337,13,4,36,9,"[12916, 13112, 15427, 15151, 9822]","[3, 1, 7, 2, 0]","[0, 2, 2, 0, 0]","[7, 7, 4, 6, 12]"
R3581,0,53091,-13337,4,13,11,-9,"[11046, 9715, 13955, 10140, 8235]","[0, 0, 4, 0, 0]","[2, 3, 2, 5, 1]","[2, 2, 0, 3, 4]"
B3582,0,34301,-13800,3,21,3,-18,"[7382, 6943, 7853, 6882, 5241]","[0, 0, 2, 1, 0]","[3, 4, 3, 7, 4]","[1, 1, 0, 0, 1]"
R3582,1,48101,13800,21,3,59,18,"[9725, 8790, 9296, 12307, 7983]","[2, 3, 4, 11, 1]","[0, 1, 1, 0, 1]","[13, 13, 7, 6, 20]"
B3583,1,51774,10236,12,1,30,11,"[10019, 10418, 13378, 11040, 6919]","[3, 5, 1, 2, 1]","[1, 0, 0, 0, 0]","[6, 5, 5, 5, 9]"
R3583,0,41538,-10236,1,12,1,-11,"[9043, 7689, 9727, 8905, 6174]","[1, 0, 0, 0, 0]","[3, 2, 2, 3, 2]","[0, 0, 0, 0, 1]"
B3584,0,58482,-10371,10,25,28,-15,"[11918, 11343, 13335, 13032, 8854]","[0, 3, 3, 2, 2]","[5, 5, 5, 6, 4]","[7, 5, 6, 4, 6]"
R3584,1,68853,10371,25,10,57,15,"[13584, 13356, 14681, 15642, 11590]","[5, 3, 7, 5, 5]","[2, 5, 3, 0, 0]","[14, 7, 11, 11, 14]"
B3585,0,49260,-7186,7,17,15,-10,"[9610, 10457, 11331, 11006, 6856]","[0, 4, 1, 2, 0]","[4, 3, 3, 3, 4]","[4, 3, 3, 3, 2]"
R3585,1,56446,7186,17,7,40,10,"[11196, 10385, 13459, 12854, 8552]","[4, 1, 7, 2, 3]","[2, 1, 1, 1, 2]","[3, 10, 8, 8, 11]"
B3586,1,41215,11422,21,7,37,14,"[7060, 7406, 10076, 9968, 6705]","[0, 2, 9, 8, 2]","[2, 1, 1, 1, 2]","[4, 10, 5, 6, 12]"
R3586,0,29793,-11422,7,21,14,-14,"[6730, 6114, 5910, 6176, 4863]","[4, 1, 0, 1, 1]","[2, 5, 3, 4, 7]","[2, 2, 3, 4, 3]"
B3587,0,63021,-3311,11,16,36,-5,"[12472, 11793, 15201, 14306, 9249]","[2, 2, 3, 4, 0]","[2, 4, 3, 4, 3]","[8, 6, 5, 7, 10]"
R3587,1,66332,3311,16,11,44,5,"[16840, 11707, 13134, 14661, 9990]","[9, 1, 0, 6, 0]","[2, 2, 3, 2, 2]","[5, 6, 13, 5, 15]"
B3588,1,58768,6803,13,6,37,7,"[11684, 11305, 12695, 13920, 9164]","[1, 2, 2, 6, 2]","[1, 1, 2, 0, 2]","[10, 11, 3, 5, 8]"
R3588,0,51965,-6803,6,13,11,-7,"[11344, 10058, 11673, 11190, 7700]","[2, 2, 1, 1, 0]","[2, 2, 1, 5, 3]","[2, 3, 3, 1, 2]"
B3589,1,47100,19421,21,2,31,19,"[10156, 9453, 10604, 9909, 6978]","[7, 3, 6, 5, 0]","[0, 0, 0, 1, 1]","[4, 5, 4, 6, 12]"
R3589,0,27679,-19421,2,21,4,-19,"[5115, 5113, 7003, 5958, 4490]","[0, 0, 2, 0, 0]","[4, 4, 5, 3, 5]","[1, 1, 0, 0, 2]"
B3590,0,48430,-15007,10,20,18,-10,"[10604, 8885, 10588, 10918, 7435]","[4, 2, 2, 2, 0]","[3, 6, 3, 4, 4]","[1, 1, 2, 6, 8]"
R3590,1,63437,15007,20,10,46,10,"[13396, 12478, 13608, 14920, 9035]","[5, 4, 4, 6, 1]","[0, 4, 2, 2, 2]","[3, 12, 8, 8, 15]"
B3591,0,86362,5176,28,25,56,3,"[17155, 15928, 19255, 21863, 12161]","[5, 5, 3, 14, 1]","[8, 3, 4, 4, 6]","[9, 16, 11, 11, 9]"
R3591,1,81186,-5176,25,28,60,-3,"[16261, 15472, 20000, 17440, 12013]","[7, 2, 9, 6, 1]","[6, 6, 6, 4, 6]","[9, 17, 7, 9, 18]"
B3592,1,57660,1857,14,13,34,1,"[12936, 11158, 12436, 12618, 8512]","[5, 5, 2, 2, 0]","[3, 5, 2, 0, 3]","[6, 5, 6, 7, 10]"
R3592,0,55803,-1857,13,14,23,-1,"[12238, 10760, 13674, 11266, 7865]","[3, 2, 4, 3, 1]","[4, 1, 3, 4, 2]","[5, 4, 6, 3, 5]"
B3593,0,72200,-9197,13,18,30,-5,"[17269, 14002, 14305, 16015, 10609]","[4, 2, 2, 4, 1]","[3, 2, 7, 1, 5]","[5, 6, 8, 6, 5]"
R3593,1,81397,9197,18,13,36,5,"[17414, 15307, 17788, 18726, 12162]","[7, 1, 4, 6, 0]","[3, 3, 5, 0, 2]","[3, 8, 7, 4, 14]"
B3594,1,54250,14389,16,1,29,15,"[10490, 10514, 12242, 12774, 8230]","[2, 2, 4, 6, 2]","[0, 1, 0, 0, 0]","[6, 7, 6, 3, 7]"
R3594,0,39861,-14389,1,16,2,-15,"[8858, 7689, 10022, 7870, 5422]","[1, 0, 0, 0, 0]","[3, 5, 4, 2, 2]","[0, 0, 0, 1, 1]"
B3595,0,33719,-14465,2,18,4,-16,"[6580, 6900, 7221, 7568, 5450]","[0, 0, 0, 1, 1]","[3, 2, 5, 4, 4]","[0, 1, 1, 1, 1]"
R3595,1,48184,14465,18,2,43,16,"[10135, 10134, 11388, 9431, 7096]","[4, 6, 6, 2, 0]","[0, 0, 1, 1, 0]","[8, 8, 6, 6, 15]"
B3596,1,52798,18015,24,4,56,20,"[11694, 9905, 11340, 11973, 7886]","[6, 4, 5, 7, 2]","[0, 2, 1, 0, 1]","[14, 8, 11, 6, 17]"
R3596,0,34783,-18015,4,24,9,-20,"[6886, 7041, 7811, 7772, 5273]","[1, 2, 0, 1, 0]","[6, 6, 5, 3, 4]","[1, 1, 3, 1, 3]"
B3597,1,57077,18896,32,8,51,24,"[11884, 11767, 14161, 11637, 7628]","[6, 8, 13, 5, 0]","[2, 1, 0, 3, 2]","[13, 10, 5, 9, 14]"
R3597,0,38181,-18896,8,32,16,-24,"[7035, 8559, 8670, 7643, 6274]","[0, 4, 2, 1, 1]","[8, 7, 9, 3, 5]","[3, 3, 4, 1, 5]"
B3598,0,24947,-17342,2,23,5,-21,"[5583, 4441, 4692, 6250, 3981]","[0, 0, 0, 2, 0]","[1, 7, 7, 3, 5]","[1, 1, 1, 0, 2]"
R3598,1,42289,17342,23,2,52,21,"[8611, 9483, 9198, 9127, 5870]","[3, 6, 9, 5, 0]","[1, 1, 0, 0, 0]","[11, 11, 8, 7, 15]"
B3599,1,74671,2621,12,9,35,3,"[17517, 13540, 16759, 15432, 11423]","[3, 1, 4, 2, 2]","[2, 1, 4, 2, 0]","[5, 9, 6, 7, 8]"
R3599,0,72050,-2621,9,12,17,-3,"[13766, 14709, 16952, 14953, 11670]","[3, 1, 2, 2, 1]","[2, 2, 3, 2, 3]","[0, 3, 5, 3, 6]"
B3600,1,52417,6878,17,8,46,9,"[10900, 10678, 12034, 10996, 7809]","[6, 1, 5, 5, 0]","[3, 1, 2, 1, 1]","[6, 9, 5, 11, 15]"
R3600,0,45539,-6878,8,17,9,-9,"[8874, 8354, 11658, 9677, 6976]","[0, 1, 6, 0, 1]","[2, 3, 3, 5, 4]","[2, 2, 0, 2, 3]"
B3601,0,31097,-15279,3,20,5,-17,"[6027, 6673, 6726, 6728, 4943]","[0, 1, 1, 0, 1]","[6, 4, 2, 4, 4]","[1, 0, 0, 2, 2]"
R3601,1,46376,15279,20,3,33,17,"[10210, 9614, 9400, 10733, 6419]","[4, 6, 4, 5, 1]","[0, 0, 0, 1, 2]","[7, 6, 6, 9, 5]"
B3602,1,52187,14673,20,9,43,11,"[10050, 8892, 11801, 13700, 7744]","[4, 1, 3, 12, 0]","[0, 4, 0, 3, 2]","[7, 7, 10, 5, 14]"
R3602,0,37514,-14673,9,20,19,-11,"[7723, 7918, 8138, 7940, 5795]","[1, 4, 0, 2, 2]","[4, 3, 3, 4, 6]","[4, 4, 5, 3, 3]"
B3603,0,61809,-12998,13,24,28,-11,"[12152, 11727, 13895, 14572, 9463]","[2, 2, 2, 5, 2]","[4, 6, 4, 4, 6]","[4, 7, 6, 5, 6]"
R3603,1,74807,12998,24,13,61,11,"[16809, 14589, 14828, 16697, 11884]","[10, 4, 3, 5, 2]","[1, 2, 5, 3, 2]","[5, 13, 10, 14, 19]"
B3604,1,86239,11447,20,10,67,10,"[17244, 15913, 21766, 18399, 12917]","[1, 5, 9, 5, 0]","[0, 1, 3, 4, 2]","[16, 12, 7, 13, 19]"
R3604,0,74792,-11447,10,20,36,-10,"[16258, 13896, 18346, 15209, 11083]","[3, 1, 5, 1, 0]","[5, 6, 0, 4, 5]","[7, 7, 5, 9, 8]"
B3605,0,56045,-6178,7,13,15,-6,"[13186, 10118, 11442, 12998, 8301]","[1, 2, 2, 2, 0]","[3, 3, 3, 2, 2]","[2, 3, 3, 3, 4]"
R3605,1,62223,6178,13,7,36,6,"[13563, 11855, 13988, 13677, 9140]","[2, 1, 8, 2, 0]","[1, 0, 3, 1, 2]","[9, 9, 4, 6, 8]"
B3606,0,63209,-278,17,20,29,-3,"[12425, 12472, 14801, 14023, 9488]","[2, 5, 7, 3, 0]","[4, 2, 4, 3, 7]","[4, 7, 3, 4, 11]"
R3606,1,63487,278,20,17,46,3,"[12530, 12365, 16505, 12912, 9175]","[6, 6, 4, 4, 0]","[3, 7, 1, 3, 3]","[9, 6, 11, 7, 13]"
B3607,0,60109,-15549,6,15,10,-9,"[13028, 11134, 13723, 13469, 8755]","[1, 2, 1, 1, 1]","[2, 2, 2, 3, 6]","[1, 4, 0, 2, 3]"
R3607,1,75658,15549,15,6,30,9,"[15232, 14699, 15854, 18358, 11515]","[1, 2, 3, 9, 0]","[1, 1, 1, 1, 2]","[4, 7, 5, 4, 10]"
B3608,0,59318,-9718,4,16,9,-12,"[12327, 11334, 13770, 13542, 8345]","[1, 1, 0, 2, 0]","[1, 3, 2, 3, 7]","[0, 0, 4, 2, 3]"
R3608,1,69036,9718,16,4,38,12,"[12926, 12903, 17203, 15551, 10453]","[0, 5, 4, 5, 2]","[1, 1, 1, 0, 1]","[5, 9, 9, 3, 12]"
B3609,0,36559,-17268,3,19,6,-16,"[7476, 7142, 8218, 8105, 5618]","[0, 0, 0, 2, 1]","[4, 4, 4, 4, 3]","[1, 2, 0, 1, 2]"
R3609,1,53827,17268,19,3,48,16,"[10393, 10822, 13172, 11625, 7815]","[4, 2, 6, 6, 1]","[1, 0, 0, 1, 1]","[5, 13, 9, 7, 14]"
B3610,1,54140,13139,11,4,22,7,"[12839, 10850, 11123, 10886, 8442]","[4, 1, 2, 2, 2]","[0, 1, 2, 1, 0]","[1, 7, 3, 5, 6]"
R3610,0,41001,-13139,4,11,10,-7,"[8940, 9459, 8396, 8330, 5876]","[1, 3, 0, 0, 0]","[2, 0, 2, 5, 2]","[1, 0, 3, 3, 3]"
B3611,1,56268,16344,13,0,30,13,"[10507, 10192, 14003, 13404, 8162]","[1, 3, 6, 3, 0]","[0, 0, 0, 0, 0]","[5, 7, 4, 6, 8]"
R3611,0,39924,-16344,0,13,0,-13,"[8010, 7872, 9449, 8681, 5912]","[0, 0, 0, 0, 0]","[3, 4, 0, 3, 3]","[0, 0, 0, 0, 0]"
B3612,0,54249,-15741,7,23,17,-16,"[10804, 10004, 13220, 12818, 7403]","[1, 1, 2, 2, 1]","[4, 6, 4, 3, 6]","[5, 4, 4, 1, 3]"
R3612,1,69990,15741,23,7,77,16,"[13795, 13681, 15480, 15972, 11062]","[4, 6, 5, 7, 1]","[2, 0, 2, 2, 1]","[11, 16, 14, 16, 20]"
B3613,1,55973,3536,10,6,30,4,"[11955, 12654, 12295, 11574, 7495]","[2, 4, 1, 3, 0]","[0, 1, 1, 3, 1]","[4, 6, 7, 6, 7]"
R3613,0,52437,-3536,6,10,9,-4,"[10399, 9716, 13256, 11474, 7592]","[0, 1, 1, 3, 1]","[2, 2, 1, 3, 2]","[2, 2, 0, 1, 4]"
B3614,0,53468,-13561,10,21,17,-11,"[10584, 9748, 13940, 11561, 7635]","[3, 1, 4, 2, 0]","[4, 7, 2, 5, 3]","[0, 4, 3, 4, 6]"
R3614,1,67029,13561,21,10,48,11,"[14936, 13990, 14973, 13489, 9641]","[4, 9, 4, 4, 0]","[0, 4, 1, 4, 1]","[9, 6, 9, 9, 15]"
B3615,0,65205,-7387,18,15,36,3,"[11683, 11456, 16978, 14402, 10686]","[3, 2, 6, 4, 3]","[5, 4, 2, 3, 1]","[4, 10, 4, 7, 11]"
R3615,1,72592,7387,15,18,33,-3,"[16254, 15151, 15856, 15624, 9707]","[6, 4, 3, 2, 0]","[1, 6, 4, 3, 4]","[5, 5, 7, 9, 7]"
B3616,1,67741,9321,27,16,62,11,"[13862, 12971, 15156, 16177, 9575]","[5, 5, 8, 9, 0]","[4, 6, 2, 3, 1]","[17, 11, 7, 12, 15]"
R3616,0,58420,-9321,16,27,28,-11,"[13043, 10473, 13377, 12453, 9074]","[4, 3, 5, 4, 0]","[7, 3, 5, 6, 6]","[6, 7, 5, 2, 8]"
B3617,0,56499,-4577,9,20,20,-11,"[11443, 10912, 12412, 12181, 9551]","[1, 0, 5, 1, 2]","[4, 5, 4, 4, 3]","[2, 7, 1, 5, 5]"
R3617,1,61076,4577,20,9,58,11,"[12323, 11593, 15166, 13393, 8601]","[3, 3, 12, 2, 0]","[3, 1, 0, 3, 2]","[10, 13, 5, 14, 16]"
B3618,0,58666,-13228,14,27,33,-13,"[12140, 11759, 12769, 12909, 9089]","[3, 4, 3, 4, 0]","[5, 6, 6, 4, 6]","[7, 8, 4, 5, 9]"
R3618,1,71894,13228,27,14,55,13,"[14939, 12648, 16710, 16736, 10861]","[7, 1, 8, 9, 2]","[5, 3, 3, 1, 2]","[7, 12, 8, 12, 16]"
B3619,0,39928,-12731,6,18,11,-12,"[9225, 7668, 9627, 7849, 5559]","[3, 0, 3, 0, 0]","[3, 4, 1, 5, 5]","[0, 4, 2, 2, 3]"
R3619,1,52659,12731,18,6,46,12,"[10738, 9767, 12185, 12495, 7474]","[3, 2, 6, 6, 1]","[3, 2, 0, 1, 0]","[8, 11, 7, 7, 13]"
B3620,0,74350,-7024,21,30,51,-9,"[15647, 14142, 16711, 16577, 11273]","[4, 2, 7, 6, 2]","[8, 8, 3, 5, 6]","[11, 15, 3, 11, 11]"
R3620,1,81374,7024,30,21,58,9,"[16395, 15381, 17120, 19272, 13206]","[4, 4, 9, 10, 3]","[7, 4, 5, 2, 3]","[8, 13, 7, 12, 18]"
B3621,1,56134,10779,12,1,34,11,"[10843, 10483, 14416, 12282, 8110]","[2, 3, 2, 5, 0]","[0, 1, 0, 0, 0]","[4, 7, 8, 5, 10]"
R3621,0,45355,-10779,1,12,1,-11,"[9615, 9395, 10243, 9460, 6642]","[0, 0, 0, 1, 0]","[3, 2, 2, 2, 3]","[0, 1, 0, 0, 0]"
B3622,0,63480,-4099,11,20,28,-9,"[13343, 12093, 13591, 14175, 10278]","[2, 1, 2, 3, 3]","[5, 3, 3, 4, 5]","[3, 7, 5, 6, 7]"
R3622,1,67579,4099,20,11,53,9,"[13713, 12278, 18953, 13067, 9568]","[4, 5, 7, 3, 1]","[2, 2, 1, 4, 2]","[11, 11, 10, 7, 14]"
B3623,0,43563,-16792,7,17,19,-10,"[9742, 8223, 10751, 8537, 6310]","[2, 1, 4, 0, 0]","[3, 2, 2, 3, 7]","[2, 5, 3, 4, 5]"
R3623,1,60355,16792,17,7,45,10,"[12089, 11816, 13215, 14317, 8918]","[1, 7, 2, 7, 0]","[1, 2, 1, 3, 0]","[4, 7, 10, 10, 14]"
B3624,1,48728,12030,14,8,33,6,"[10587, 9400, 10087, 11034, 7620]","[3, 4, 1, 5, 1]","[0, 1, 3, 3, 1]","[5, 8, 4, 6, 10]"
R3624,0,36698,-12030,8,14,12,-6,"[7281, 7496, 8767, 7406, 5748]","[0, 4, 3, 0, 1]","[3, 1, 2, 5, 3]","[0, 2, 4, 3, 3]"
B3625,1,52727,180,7,5,15,2,"[10085, 10238, 12064, 11754, 8586]","[0, 2, 2, 2, 1]","[2, 1, 1, 0, 1]","[5, 2, 1, 1, 6]"
R3625,0,52547,-180,5,7,13,-2,"[11305, 10985, 11304, 11364, 7589]","[2, 0, 0, 3, 0]","[0, 3, 1, 1, 2]","[1, 4, 3, 1, 4]"
B3626,0,53702,-11679,4,18,7,-14,"[10821, 11052, 11987, 12033, 7809]","[1, 2, 1, 0, 0]","[4, 3, 4, 2, 5]","[1, 0, 2, 1, 3]"
R3626,1,65381,11679,18,4,43,14,"[11983, 13301, 13944, 17156, 8997]","[2, 4, 2, 10, 0]","[2, 0, 1, 0, 1]","[9, 10, 9, 4, 11]"
B3627,1,51834,2326,13,6,33,7,"[9235, 9627, 11597, 13084, 8291]","[1, 3, 4, 2, 3]","[3, 1, 1, 0, 1]","[9, 4, 7, 8, 5]"
R3627,0,49508,-2326,6,13,14,-7,"[9644, 9523, 10902, 12385, 7054]","[1, 1, 1, 3, 0]","[3, 3, 2, 2, 3]","[2, 5, 2, 1, 4]"
B3628,1,55731,3488,13,8,32,5,"[10863, 12329, 12159, 12016, 8364]","[1, 4, 4, 4, 0]","[1, 1, 2, 2, 2]","[5, 2, 5, 9, 11]"
R3628,0,52243,-3488,8,13,26,-5,"[11500, 9583, 11016, 11796, 8348]","[3, 0, 2, 1, 2]","[1, 2, 4, 3, 3]","[4, 7, 2, 7, 6]"
B3629,0,41891,-12058,3,10,5,-7,"[8907, 8733, 9715, 8604, 5932]","[0, 2, 0, 0, 1]","[3, 4, 2, 1, 0]","[1, 1, 1, 1, 1]"
R3629,1,53949,12058,10,3,29,7,"[10626, 10277, 11722, 13445, 7879]","[0, 1, 1, 6, 2]","[0, 0, 1, 0, 2]","[2, 7, 9, 4, 7]"
B3630,1,50289,17944,12,1,26,11,"[9486, 10250, 11703, 11929, 6921]","[1, 6, 1, 4, 0]","[0, 1, 0, 0, 0]","[6, 2, 7, 4, 7]"
R3630,0,32345,-17944,1,12,2,-11,"[6985, 6438, 7883, 6447, 4592]","[0, 0, 1, 0, 0]","[5, 3, 1, 2, 1]","[1, 1, 0, 0, 0]"
B3631,1,71699,3406,15,7,45,8,"[14606, 13234, 17414, 16430, 10015]","[1, 1, 6, 7, 0]","[0, 0, 1, 2, 4]","[8, 11, 9, 6, 11]"
R3631,0,68293,-3406,7,15,21,-8,"[14427, 11830, 16688, 15647, 9701]","[2, 1, 1, 3, 0]","[3, 3, 1, 4, 4]","[2, 5, 5, 4, 5]"
B3632,0,68892,-1036,7,15,20,-8,"[13408, 12148, 18168, 14989, 10179]","[1, 1, 4, 1, 0]","[3, 3, 1, 3, 5]","[4, 4, 2, 4, 6]"
R3632,1,69928,1036,15,7,51,8,"[13437, 12171, 14731, 19183, 10406]","[1, 1, 1, 12, 0]","[2, 1, 0, 1, 3]","[11, 11, 12, 2, 15]"
B3633,1,53938,18715,19,4,39,15,"[12057, 10526, 12928, 11228, 7199]","[6, 0, 8, 5, 0]","[0, 1, 0, 2, 1]","[7, 10, 5, 4, 13]"
R3633,0,35223,-18715,4,19,8,-15,"[7289, 6689, 7388, 8777, 5080]","[0, 0, 0, 3, 1]","[4, 4, 5, 4, 2]","[1, 3, 1, 0, 3]"
B3634,0,76924,-3096,16,15,39,1,"[14529, 13724, 18332, 19072, 11267]","[1, 1, 5, 9, 0]","[5, 2, 4, 2, 2]","[8, 12, 5, 2, 12]"
R3634,1,80020,3096,15,16,44,-1,"[15784, 16565, 17641, 18705, 11325]","[1, 4, 6, 4, 0]","[5, 2, 4, 2, 3]","[9, 10, 8, 6, 11]"
B3635,1,45748,7192,15,2,40,13,"[8494, 7735, 11245, 11148, 7126]","[2, 0, 6, 6, 1]","[0, 0, 0, 1, 1]","[6, 11, 5, 6, 12]"
R3635,0,38556,-7192,2,15,5,-13,"[6979, 7462, 9938, 8275, 5902]","[1, 0, 1, 0, 0]","[3, 4, 3, 2, 3]","[0, 1, 1, 1, 2]"
B3636,0,43295,-14088,1,17,2,-16,"[9299, 7573, 10638, 9436, 6349]","[0, 0, 1, 0, 0]","[2, 4, 4, 4, 3]","[0, 1, 0, 1, 0]"
R3636,1,57383,14088,17,1,31,16,"[12530, 10758, 14013, 12152, 7930]","[3, 4, 7, 2, 1]","[0, 0, 0, 1, 0]","[6, 5, 7, 5, 8]"
B3637,1,69773,11969,18,10,45,8,"[17722, 12795, 15377, 13764, 10115]","[4, 4, 4, 6, 0]","[2, 2, 3, 1, 2]","[5, 6, 13, 7, 14]"
R3637,0,57804,-11969,10,18,25,-8,"[11209, 10450, 13018, 14355, 8772]","[0, 1, 3, 5, 1]","[3, 5, 5, 2, 3]","[6, 6, 2, 3, 8]"
B3638,0,56624,-6737,6,12,13,-6,"[12245, 9968, 14037, 12204, 8170]","[3, 1, 0, 2, 0]","[2, 3, 2, 2, 3]","[2, 1, 4, 2, 4]"
R3638,1,63361,6737,12,6,26,6,"[11950, 12751, 14116, 15043, 9501]","[2, 4, 1, 5, 0]","[3, 1, 0, 0, 2]","[4, 6, 3, 3, 10]"
B3639,0,73982,866,12,12,37,0,"[15350, 14435, 16366, 16530, 11301]","[0, 3, 1, 6, 2]","[3, 2, 3, 1, 3]","[11, 6, 8, 3, 9]"
R3639,1,73116,-866,12,12,30,0,"[15248, 13184, 16520, 17027, 11137]","[1, 1, 5, 5, 0]","[3, 2, 2, 3, 2]","[5, 5, 5, 5, 10]"
B3640,0,72218,-13211,10,19,25,-9,"[14674, 13756, 15849, 16406, 11533]","[0, 2, 4, 3, 1]","[5, 2, 4, 4, 4]","[5, 6, 3, 4, 7]"
R3640,1,85429,13211,19,10,47,9,"[19327, 14857, 20447, 18525, 12273]","[5, 2, 7, 4, 1]","[1, 1, 4, 2, 2]","[7, 13, 7, 7, 13]"
B3641,0,41681,-12619,4,19,6,-15,"[8818, 8391, 9245, 9623, 5604]","[1, 2, 0, 1, 0]","[3, 7, 4, 1, 4]","[2, 1, 1, 1, 1]"
R3641,1,54300,12619,19,4,36,15,"[10655, 9033, 12465, 13438, 8709]","[2, 1, 6, 5, 5]","[2, 2, 0, 0, 0]","[5, 9, 4, 11, 7]"
B3642,1,57555,15219,17,2,40,15,"[12361, 11764, 11610, 13310, 8510]","[6, 5, 1, 4, 1]","[0, 1, 1, 0, 0]","[5, 8, 8, 8, 11]"
R3642,0,42336,-15219,2,17,5,-15,"[8585, 8143, 10029, 9696, 5883]","[0, 0, 2, 0, 0]","[4, 5, 2, 1, 5]","[1, 1, 0, 1, 2]"
B3643,0,28020,-14728,1,16,2,-15,"[5361, 5918, 6248, 6557, 3936]","[1, 0, 0, 0, 0]","[5, 3, 1, 2, 5]","[0, 1, 0, 1, 0]"
R3643,1,42748,14728,16,1,33,15,"[8483, 8767, 8521, 10482, 6495]","[2, 7, 2, 4, 1]","[0, 0, 1, 0, 0]","[6, 6, 5, 7, 9]"
B3644,1,45925,11222,14,6,30,8,"[9525, 9567, 9287, 10741, 6805]","[2, 6, 2, 2, 2]","[2, 2, 2, 0, 0]","[4, 4, 9, 6, 7]"
R3644,0,34703,-11222,6,14,14,-8,"[7378, 7057, 8171, 7477, 4620]","[0, 3, 3, 0, 0]","[3, 3, 1, 3, 4]","[5, 2, 2, 2, 3]"
B3645,1,70443,14371,20,6,61,14,"[16838, 13176, 13928, 15458, 11043]","[9, 4, 2, 4, 1]","[2, 1, 2, 1, 0]","[10, 13, 14, 8, 16]"
R3645,0,56072,-14371,6,20,11,-14,"[10887, 10869, 12912, 13052, 8352]","[2, 1, 2, 0, 1]","[5, 5, 3, 3, 4]","[0, 3, 3, 3, 2]"
B3646,1,77607,12332,17,0,37,17,"[15790, 14526, 17029, 18220, 12042]","[2, 0, 7, 8, 0]","[0, 0, 0, 0, 0]","[10, 7, 4, 5, 11]"
R3646,0,65275,-12332,0,17,0,-17,"[13036, 12618, 15263, 14700, 9658]","[0, 0, 0, 0, 0]","[4, 4, 4, 2, 3]","[0, 0, 0, 0, 0]"
B3647,1,72638,15827,20,6,55,14,"[15050, 15449, 16400, 15471, 10268]","[3, 4, 6, 7, 0]","[0, 2, 2, 1, 1]","[12, 10, 10, 7, 16]"
R3647,0,56811,-15827,6,20,16,-14,"[11009, 10938, 14807, 12889, 7168]","[1, 1, 2, 2, 0]","[5, 3, 1, 5, 6]","[0, 4, 4, 3, 5]"
B3648,0,35211,-21000,7,25,11,-18,"[7194, 7052, 8524, 7207, 5234]","[1, 1, 3, 1, 1]","[4, 6, 4, 5, 6]","[2, 3, 1, 2, 3]"
R3648,1,56211,21000,25,7,48,18,"[10990, 11737, 13665, 11883, 7936]","[2, 7, 9, 6, 1]","[0, 4, 0, 3, 0]","[8, 11, 9, 7, 13]"
B3649,1,46204,12653,9,0,27,9,"[8983, 9606, 9570, 11130, 6915]","[2, 4, 0, 3, 0]","[0, 0, 0, 0, 0]","[4, 3, 9, 4, 7]"
R3649,0,33551,-12653,0,9,0,-9,"[6077, 6153, 7949, 8269, 5103]","[0, 0, 0, 0, 0]","[2, 1, 2, 2, 2]","[0, 0, 0, 0, 0]"
B3650,1,74796,13484,12,4,35,8,"[17534, 14157, 14941, 17968, 10196]","[5, 1, 2, 4, 0]","[1, 1, 0, 0, 2]","[6, 10, 7, 6, 6]"
R3650,0,61312,-13484,4,12,11,-8,"[12754, 11581, 13184, 14799, 8994]","[3, 0, 0, 1, 0]","[3, 2, 1, 2, 4]","[1, 4, 3, 1, 2]"
B3651,0,84480,1820,8,14,25,-6,"[18273, 16577, 18022, 18406, 13202]","[2, 1, 1, 3, 1]","[3, 1, 5, 2, 3]","[5, 7, 3, 3, 7]"
R3651,1,82660,-1820,14,8,41,6,"[16294, 15035, 19754, 19362, 12215]","[0, 4, 2, 8, 0]","[3, 1, 2, 1, 1]","[10, 6, 7, 5, 13]"
B3652,1,62042,12892,11,2,27,9,"[12658, 13271, 12643, 14765, 8705]","[2, 2, 2, 5, 0]","[0, 0, 1, 1, 0]","[7, 5, 2, 4, 9]"
R3652,0,49150,-12892,2,11,2,-9,"[10999, 8933, 10872, 11568, 6778]","[0, 0, 0, 2, 0]","[2, 2, 3, 1, 3]","[0, 1, 0, 0, 1]"
B3653,0,50218,-14034,9,20,16,-11,"[9867, 9883, 11936, 10857, 7675]","[2, 2, 0, 4, 1]","[4, 5, 2, 5, 4]","[2, 1, 4, 4, 5]"
R3653,1,64252,14034,20,9,47,11,"[12747, 15513, 12653, 14562, 8777]","[0, 8, 3, 9, 0]","[2, 1, 1, 3, 2]","[12, 7, 8, 7, 13]"
B3654,1,55503,14959,13,3,42,10,"[11012, 10073, 13732, 12250, 8436]","[1, 1, 4, 7, 0]","[2, 0, 1, 0, 0]","[9, 8, 7, 5, 13]"
